dummies ratio
1 0.931782945736434
2 0.8522702104097453
3 0.7636766334440753
4 0.7913621262458472
5 0.7841638981173865
6 0.765891472868217
7 0.7574750830564784
8 0.7673311184939092
9 0.7636766334440753
10 0.7642303433001107
11 0.7640088593576966
12 0.7803986710963455
13 0.7808416389811739
14 0.7852713178294574
15 0.7955703211517166
16 0.8039867109634552
17 0.8095238095238095
18 0.8143964562569214
19 0.8283499446290143
20 0.8322259136212624
21 0.8310077519379845
22 0.8407530454042081
23 0.8396456256921373
24 0.8574750830564785
25 0.8499446290143965
26 0.8586932447397564
27 0.8650055370985603
28 0.8679955703211517
29 0.869656699889258
30 0.8717607973421927
31 0.8751937984496124
32 0.8754152823920266
33 0.8712070874861573
34 0.8796234772978959
35 0.8813953488372093
36 0.8868217054263566
37 0.8858250276854928
38 0.8828349944629015
39 0.8878183831672204
40 0.8828349944629015
41 0.886157253599114
42 0.8867109634551495
43 0.8802879291251384
44 0.8826135105204873
45 0.8849390919158361
46 0.8794019933554817
47 0.879734219269103
48 0.8770764119601329
49 0.8813953488372093
50 0.8724252491694352
51 0.8823920265780731
52 0.8750830564784053
53 0.8704318936877077
54 0.8748615725359912
55 0.86578073089701
56 0.8630121816168328
57 0.8626799557032115
58 0.8647840531561461
59 0.8576965669988926
60 0.8602436323366556
61 0.863233665559247
62 0.8609080841638981
63 0.8569213732004429
64 0.8513842746400886
65 0.8520487264673311
66 0.8495016611295682
67 0.8459579180509413
68 0.8438538205980066
69 0.8480620155038759
70 0.8446290143964562
71 0.8427464008859358
72 0.8330011074197121
73 0.827906976744186
74 0.8427464008859358
75 0.8272425249169435
76 0.8338870431893688
77 0.8351052048726467
78 0.8284606866002214
79 0.8171650055370986
80 0.8253599114064231
81 0.8231450719822813
82 0.8165005537098561
83 0.8121816168327797
84 0.8236987818383167
85 0.8158361018826135
86 0.8064230343300111
87 0.8018826135105205
88 0.8052048726467331
89 0.8068660022148394
90 0.8108527131782945
91 0.7980066445182724
92 0.8070874861572536
93 0.797452934662237
94 0.7993355481727574
95 0.7962347729789591
96 0.7837209302325582
97 0.7890365448504983
98 0.7819490586932447
99 0.7795127353266889
100 0.7892580287929125
