dummies ratio
1 0.9192691029900332
2 0.8078626799557033
3 0.7016611295681063
4 0.6547065337763012
5 0.6180509413067553
6 0.5967884828349944
7 0.5890365448504984
8 0.5952380952380952
9 0.5940199335548173
10 0.5967884828349944
11 0.6047619047619047
12 0.6015503875968993
13 0.6169435215946844
14 0.6295681063122923
15 0.6387596899224807
16 0.6559246954595792
17 0.6615725359911406
18 0.6867109634551495
19 0.6884828349944629
20 0.7031007751937984
21 0.7187153931339978
22 0.7220376522702104
23 0.7398671096345515
24 0.7420819490586933
25 0.7589147286821706
26 0.7740863787375415
27 0.7873754152823921
28 0.7833887043189369
29 0.795016611295681
30 0.8004429678848284
31 0.8085271317829458
32 0.8178294573643411
33 0.8253599114064231
34 0.830343300110742
35 0.8283499446290143
36 0.8326688815060909
37 0.8352159468438538
38 0.846843853820598
39 0.8454042081949059
40 0.850609080841639
41 0.8552602436323367
42 0.8528239202657807
43 0.8483942414174972
44 0.8564784053156146
45 0.8563676633444075
46 0.8584717607973422
47 0.8638981173864895
48 0.8563676633444075
49 0.8541528239202658
50 0.8545957918050942
51 0.8599114064230343
52 0.8627906976744186
53 0.8575858250276855
54 0.8566998892580288
55 0.8604651162790697
56 0.8565891472868217
57 0.8497231450719823
58 0.8534883720930233
59 0.8520487264673311
60 0.8503875968992248
61 0.8450719822812847
62 0.8500553709856036
63 0.8488372093023255
64 0.851937984496124
65 0.8516057585825028
66 0.8465116279069768
67 0.84296788482835
68 0.8418604651162791
69 0.8394241417497231
70 0.8366555924695459
71 0.827906976744186
72 0.8400885935769656
73 0.8295681063122924
74 0.8293466223698782
75 0.8355481727574751
76 0.8230343300110742
77 0.827906976744186
78 0.8249169435215947
79 0.8176079734219269
80 0.8260243632336656
81 0.8128460686600222
82 0.8207087486157254
83 0.8057585825027685
84 0.8142857142857143
85 0.8110741971207087
86 0.8213732004429679
87 0.8062015503875969
88 0.8048726467331119
89 0.8027685492801772
90 0.8027685492801772
91 0.7963455149501661
92 0.7965669988925803
93 0.8004429678848284
94 0.7931339977851606
95 0.786157253599114
96 0.7915836101882614
97 0.7889258028792913
98 0.7866002214839424
99 0.7830564784053156
100 0.7828349944629014
