dummies sdrounds
1 34.319118100936784
2 52.56682245389449
3 67.84204191410915
4 83.37330574041428
5 94.33046585333292
6 111.19383732518327
7 123.87638378618308
8 135.29292223165044
9 143.73210265425936
10 152.04389531358396
11 164.93363394417102
12 173.76554169007346
13 178.2390382825927
14 187.9518961619285
15 196.68555588027434
16 202.4961099590317
17 209.00464445869952
18 215.42852389408114
19 222.49434758027505
20 224.81135236545822
21 232.84269081262894
22 242.65099597328717
23 246.15177642959117
24 245.23931368250175
25 246.41496585557738
26 256.1924902857075
27 257.69521630998713
28 265.06670497412665
29 273.7781163103691
30 269.6446664518145
31 276.4246161797209
32 279.6042511527675
33 286.56746640238407
34 292.47394064266877
35 290.6786706539982
36 295.0570833049324
37 302.8428424597519
38 297.89030404370476
39 307.4821160144833
40 312.9733187015249
41 316.99907265670896
42 317.5861590660277
43 323.6571916073193
44 324.2352708032063
45 337.7641957627489
46 336.0031832621726
47 335.660841253721
48 341.0215011205446
49 352.11104593546355
50 345.4717713025511
51 355.70280579699624
52 353.09243157091635
53 360.74929093147745
54 363.66922119485673
55 372.5856760708572
56 378.12790926269736
57 373.62489755154763
58 375.35136042891617
59 385.59199610811174
60 388.2082845161846
61 398.350850610155
62 398.41428183245284
63 401.2059676467477
64 407.3376679385358
65 414.79354575079026
66 412.53668390550223
67 414.9808437043128
68 419.9210377100992
69 417.0245664683802
70 426.9163558601596
71 431.0083644748744
72 435.04242090516607
73 450.49802124123073
74 442.06738110730134
75 442.88301718070886
76 451.706596848359
77 460.07008191892857
78 458.907796659113
79 456.2701146891566
80 477.82866777737485
81 483.29530780284585
82 474.8243757387864
83 474.66185070041377
84 481.3116530441671
85 489.27954748098665
86 489.3807107427194
87 483.49214693686594
88 503.14578655194276
89 496.29949443744306
90 508.33825823510136
91 514.0164060228411
92 518.6539827780692
93 517.9793137919202
94 515.5732280589372
95 511.0982366951614
96 530.3444784305645
97 538.1474342721555
98 531.4517715037083
99 541.1657606619424
100 549.488510033521
