rounds mean
1 43.35714285714286
2 101.29166666666669
3 77.8181818181818
4 135.7777777777778
5 190.72
6 165.1153846153846
7 177.70833333333337
8 186.72727272727275
9 303.95833333333326
10 270.66666666666663
11 258.59090909090907
12 330.8181818181818
13 289.28000000000003
14 387.3599999999999
15 352.71428571428567
16 443.22222222222223
17 387.74999999999994
18 478.3913043478261
19 471.5
20 450.5833333333333
21 504.34615384615375
22 497.32
23 507.3928571428573
24 570.7142857142858
25 565.7083333333334
26 514.4583333333333
27 500.74074074074076
28 597.3333333333333
29 622.0689655172416
30 666.8620689655172
31 617.2692307692307
32 574.4482758620691
33 646.851851851852
34 779.3199999999999
35 687.3636363636363
36 728.1600000000001
37 713.9999999999999
38 739.9285714285713
39 663.6538461538461
40 637.6785714285713
41 698.1538461538463
42 763.2499999999999
43 858.0370370370371
44 709.0833333333334
45 761.3333333333333
46 843.3599999999999
47 892.2068965517241
48 841.4074074074073
49 891.9642857142854
50 829.1739130434781
51 887.8461538461538
52 751.3076923076923
53 846.7692307692308
54 896.0384615384615
55 999.5199999999999
56 934.75
57 897.888888888889
58 871.52
59 978.4285714285713
60 978.68
61 858.2222222222222
62 806.9615384615383
63 968.1785714285713
64 849.5555555555557
65 930.0400000000001
66 981.4444444444445
67 966.1153846153849
68 1141.3999999999999
69 868.7777777777779
70 1086.2222222222224
71 1002.4999999999999
72 1084.8750000000002
73 1122.88
74 1084.6
75 1079.142857142857
76 1145.7307692307695
77 1020.074074074074
78 1065.3703703703704
79 1106.0000000000002
80 1121.6400000000003
81 1268.1923076923076
82 1286.0
83 1067.3703703703702
84 1352.6399999999999
85 1372.625
86 1198.9
87 1119.3181818181818
88 990.375
89 1342.5416666666667
90 1164.8695652173913
91 1343.28
92 1089.7083333333335
93 1116.3333333333335
94 1324.304347826087
95 1171.3333333333333
96 1308.1923076923076
97 1401.3181818181818
98 1303.9130434782608
99 1549.7916666666663
100 1315.1818181818182
